Channel;Company;Category;Subcategory;Year;Month;U;$
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Oct;5806;1184349
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Jun;8235;1635806
B&M;Estée Lauder Brasil;Make Up;Foundations;2023;Nov;38393;10027518
B&M;Other exclusives;Make Up;Bronzers;2023;Jul;2741;498473
Online;Other exclusives;Make Up;Concealer;2021;Nov;3131;344608
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;Jan;5489;478617
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Jun;8527;1396981
B&M;Other exclusives;Make Up;Lipstick;2022;May;4098;589747
Online;Other exclusives;Make Up;Foundations;2023;Mar;3476;640966
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Oct;5703;823708
B&M;Estée Lauder Brasil;Make Up;Highlighter;2023;Nov;3956;1121972
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Aug;3595;704416
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Jul;7165;873130
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Sep;6597;956661
B&M;Other exclusives;Make Up;Foundations;2022;Oct;4928;1117210
Online;Other exclusives;Make Up;Blush;2023;Mar;3330;506449
B&M;Shiseido Brasil;Skincare;Multibenefit;2023;Nov;5391;1281507
B&M;Other exclusives;Make Up;Foundations;2023;Aug;5115;1075315
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Oct;7612;1008593
B&M;Other exclusives;Make Up;Lip Gloss;2021;Dec;2413;275780
Online;Other exclusives;Make Up;Mixed Make up;2022;Nov;2383;445154
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Feb;3620;337044
B&M;Estée Lauder Brasil;Make Up;Lip liner;2022;Aug;4241;467605
Online;Estée Lauder Brasil;Make Up;Lipstick;2021;Jun;11284;971679
B&M;Other exclusives;Make Up;Lip Gloss;2022;Jun;3691;476255
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2023;Oct;4673;1169523
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2023;Feb;4192;576599
B&M;Other exclusives;Make Up;Highlighter;2023;Jul;5217;952068
B&M;Other exclusives;Make Up;Foundations;2023;Sep;5524;1119680
B&M;Other exclusives;Skincare;BC others;2023;Nov;2969;478303
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Jan;3874;418510
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Apr;4636;506626
B&M;Estée Lauder Brasil;Make Up;Mascaras;2021;Aug;6509;966795
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Apr;37148;5003319
B&M;Other exclusives;Make Up;Powders;2022;Jan;3806;745187
Online;Estée Lauder Brasil;Make Up;Foundations;2021;Nov;19576;3453104
B&M;Other exclusives;Make Up;Foundations;2023;Jun;4712;1113649
B&M;Other exclusives;Make Up;Foundations;2023;May;4522;1015597
B&M;Other exclusives;Skincare;BC Moisturizer;2023;Dec;3292;715816
B&M;Other exclusives;Make Up;Mixed lips;2022;Jun;2018;597290
B&M;Other exclusives;Make Up;Setting Spray;2021;Dec;2544;294028
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Jul;9696;1630984
B&M;Estée Lauder Brasil;Make Up;Blush;2023;Dec;11149;2945429
B&M;Other exclusives;Make Up;Setting Spray;2023;Aug;3430;554191
B&M;Other exclusives;Make Up;Setting Spray;2023;Dec;3866;656561
B&M;Other exclusives;Make Up;Foundations;2023;Jan;4501;1033854
B&M;Estée Lauder Brasil;Make Up;Concealer;2022;Nov;19349;2968288
B&M;LVMH Brasil;Make Up;Brows;2023;Dec;13605;2236128
B&M;Other exclusives;Make Up;Highlighter;2023;Apr;3818;717508
B&M;Other exclusives;Make Up;Highlighter;2023;Jan;3421;628662
Online;Other exclusives;Make Up;Blush;2023;May;2923;459551
B&M;Other exclusives;Make Up;Blush;2023;Feb;3231;549116
Online;Other exclusives;Make Up;Highlighter;2022;Aug;2344;375547
B&M;Other exclusives;Make Up;Mixed Make up;2021;Dec;2537;460651
B&M;Other exclusives;Skincare;BC others;2023;Jul;3643;752979
B&M;Other exclusives;Make Up;Lip Gloss;2022;May;3312;436558
B&M;Estée Lauder Brasil;Make Up;Lipstick;2023;Mar;35897;4411974
B&M;Other exclusives;Make Up;Foundations;2023;Oct;6340;1324730
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2022;Feb;2744;492746
B&M;Other exclusives;Make Up;Lipstick;2022;Aug;4865;698389
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;May;8284;1656675
Online;Other exclusives;Make Up;Mixed lips;2023;Nov;1923;304373
Online;Other exclusives;Make Up;Foundations;2023;Nov;6613;1049280
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2023;Dec;4898;1150596
B&M;Other exclusives;Make Up;Blush;2022;Oct;3893;673902
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Feb;3777;412047
B&M;Other exclusives;Make Up;Highlighter;2023;May;4362;823644
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2021;Sep;3269;493986
B&M;Estée Lauder Brasil;Make Up;Concealer;2023;Nov;19366;4137962
Online;Estée Lauder Brasil;Make Up;Lipstick;2021;Apr;18922;1579635
B&M;LVMH Brasil;Make Up;Lip Gloss;2022;Dec;7314;1513622
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;Oct;4796;539904
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Apr;7918;1524580
B&M;Shiseido Brasil;Make Up;Mascaras;2023;Nov;2608;325538
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Jan;7646;1350905
B&M;Estée Lauder Brasil;Make Up;Lip liner;2022;Jul;3548;390767
B&M;Estée Lauder Brasil;Make Up;Blush;2023;Jan;9405;1865962
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;May;4509;493341
B&M;Estée Lauder Brasil;Make Up;Foundations;2022;Oct;28389;6511704
B&M;Estée Lauder Brasil;Make Up;Lip liner;2023;Oct;4569;588895
B&M;Other exclusives;Make Up;Setting Spray;2021;Nov;2491;280335
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2021;Feb;3656;331742
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Nov;13789;1970702
B&M;LVMH Brasil;Make Up;Lip Gloss;2023;Dec;9912;2227426
Online;Shiseido Brasil;Skincare;Age Specialists;2021;Nov;3566;1423302
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2021;Dec;2734;507848
B&M;Other exclusives;Make Up;Mixed lips;2022;Dec;1807;490787
B&M;Other exclusives;Make Up;Powders;2022;Feb;3410;676671
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Dec;11709;2541726
B&M;Other exclusives;Make Up;Powders;2021;Oct;4747;887204
Online;Shiseido Brasil;Skincare;Multibenefit;2023;Nov;5552;1294425
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Jul;10450;1616330
B&M;Other exclusives;Make Up;Make Up Accessories;2022;Aug;1847;279151
Online;LVMH Brasil;Skincare;Age Specialists;2023;Nov;3631;1490499
B&M;Other exclusives;Make Up;Foundations;2022;Jan;3736;654192
B&M;Other exclusives;Make Up;Mixed Make up;2023;Jan;2312;593358
Online;Other exclusives;Make Up;Blush;2023;Aug;2447;384741
B&M;Other exclusives;Make Up;Highlighter;2023;Jun;4068;753925
B&M;Estée Lauder Brasil;Make Up;Make Up Accessories;2022;Oct;2744;280870
B&M;Estée Lauder Brasil;Make Up;Setting Spray;2023;Aug;4282;1021442
B&M;L'Oréal Brasil;Make Up;Mascaras;2021;Nov;6227;940371
Online;Other exclusives;Make Up;Foundations;2023;Apr;3347;532183
B&M;Other exclusives;Make Up;Mixed lips;2023;Dec;1740;408593
B&M;Estée Lauder Brasil;Make Up;Eye liner;2023;Nov;10482;1979249
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;May;7170;862134
Online;Other exclusives;Make Up;Foundations;2022;Nov;3370;632253
B&M;Estée Lauder Brasil;Make Up;Mascaras;2022;Mar;7695;1207753
B&M;Shiseido Brasil;Make Up;Eye Shadow;2021;Nov;3121;599109
Online;Other exclusives;Make Up;Blush;2023;Jun;2368;370190
Online;LVMH Brasil;Make Up;Blush;2023;Nov;4477;921731
B&M;Estée Lauder Brasil;Make Up;Foundations;2021;Oct;26735;5458415
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Feb;6089;1135152
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Jun;10680;1653359
B&M;Estée Lauder Brasil;Make Up;Eye Shadow;2021;Dec;14805;2800809
B&M;Other exclusives;Make Up;Bronzers;2023;Oct;2257;411478
B&M;Other exclusives;Make Up;Setting Spray;2022;Nov;2712;367530
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Aug;6473;817464
B&M;Other exclusives;Make Up;Lip Gloss;2022;Aug;4214;581027
B&M;Estée Lauder Brasil;Make Up;Eye liner;2023;Oct;8016;1555490
B&M;Other exclusives;Skincare;Moisturizing;2023;Nov;2596;865104
B&M;Other exclusives;Make Up;Highlighter;2022;Dec;4265;822908
B&M;Other exclusives;Make Up;Brows;2023;Nov;6073;802462
B&M;Estée Lauder Brasil;Make Up;Foundations;2021;Dec;30413;6536178
B&M;Other exclusives;Make Up;Setting Spray;2023;Nov;3604;534316
Online;Estée Lauder Brasil;Make Up;Setting Spray;2023;Dec;2414;439954
B&M;Other exclusives;Make Up;Foundations;2023;Feb;3926;894934
B&M;Other exclusives;Make Up;Make Up Accessories;2023;Jul;1863;279513
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Jun;6887;803246
B&M;Estée Lauder Brasil;Make Up;Eye liner;2021;Sep;5853;760333
B&M;Estée Lauder Brasil;Make Up;Eye liner;2023;Mar;9268;1556855
Online;LVMH Brasil;Skincare;Age Specialists;2021;Nov;4169;1298702
B&M;Other exclusives;Make Up;Brows;2022;Nov;4455;585410
B&M;Other exclusives;Make Up;Powders;2022;Dec;4667;721863
B&M;Estée Lauder Brasil;Make Up;Primer;2022;Dec;3680;830661
Online;Other exclusives;Make Up;Lip Gloss;2022;Nov;2307;260850
B&M;Other exclusives;Make Up;Concealer;2023;Jul;6267;1006851
Online;Other exclusives;Make Up;Foundations;2021;Sep;2197;319390
B&M;Other exclusives;Make Up;Lip Gloss;2023;Jan;3236;433251
B&M;Estée Lauder Brasil;Make Up;Lip liner;2022;Jun;3294;362858
B&M;Estée Lauder Brasil;Make Up;Highlighter;2021;Dec;5074;1162256
B&M;Other exclusives;Make Up;Highlighter;2023;Sep;3630;684668
B&M;Estée Lauder Brasil;Make Up;Eye liner;2022;Feb;6494;878917
Online;Estée Lauder Brasil;Make Up;Lipstick;2023;Aug;11335;1307000
Online;Other exclusives;Make Up;Mixed Make up;2023;Jul;1898;347828
Online;Other exclusives;Make Up;Mixed Make up;2021;Apr;1685;269986
Online;Other exclusives;Make Up;Mascaras;2021;Nov;1797;154501
B&M;Estée Lauder Brasil;Skincare;Moisturizing;2023;Mar;4615;1419434
Online;Other exclusives;Make Up;Bronzers;2021;Nov;1606;172379
Online;LVMH Brasil;Make Up;Mixed Make up;2021;Nov;4005;581417
B&M;Estée Lauder Brasil;Make Up;Mixed eyes;2022;Dec;2940;833484
B&M;Other exclusives;Make Up;Make Up Accessories;2021;Nov;1572;179685
B&M;Estée Lauder Brasil;Make Up;Mascaras;2023;Oct;7248;1543102
B&M;Estée Lauder Brasil;Make Up;Foundations;2022;May;26449;6058885
B&M;Estée Lauder Brasil;Make Up;Blush;2023;Jun;10210;2197242
B&M;Estée Lauder Brasil;Make Up;Blush;2023;May;9466;2045964
